0, -0.447214, 0
0.0280808, -0.446331, 0.000882474
0.0560507, -0.443687, 0.00352641
0.0837995, -0.439292, 0.00792138
0.111218, -0.433164, 0.01405
0.138197, -0.425325, 0.0218882
0.16463, -0.415809, 0.0314049
0.190414, -0.404651, 0.0425626
0.215447, -0.391896, 0.0553173
0.239629, -0.377595, 0.0696187
0.262866, -0.361803, 0.0854102
0.285065, -0.344584, 0.10263
0.306139, -0.326005, 0.121209
0.326005, -0.306139, 0.141075
0.344584, -0.285065, 0.162149
0.361803, -0.262866, 0.184348
0.377595, -0.239629, 0.207585
0.391896, -0.215447, 0.231767
0.404651, -0.190414, 0.256799
0.415809, -0.16463, 0.282583
0.425325, -0.138197, 0.309017
0.433164, -0.111217, 0.335996
0.439292, -0.0837994, 0.363414
0.443687, -0.0560507, 0.391163
0.446331, -0.0280807, 0.419133
0.447214, 1.49012e-08, 0.447214
0.446331, 0.0280808, 0.475294
0.443687, 0.0560508, 0.503264
0.439292, 0.0837995, 0.531013
0.433164, 0.111218, 0.558431
0.425325, 0.138197, 0.58541
0.415809, 0.16463, 0.611844
0.404651, 0.190414, 0.637628
0.391896, 0.215447, 0.66266
0.377595, 0.239629, 0.686843
0.361803, 0.262866, 0.710079
0.344584, 0.285065, 0.732278
0.326005, 0.306139, 0.753352
0.306139, 0.326005, 0.773218
0.285065, 0.344584, 0.791798
0.262866, 0.361803, 0.809017
0.239629, 0.377595, 0.824809
0.215447, 0.391896, 0.83911
0.190414, 0.404651, 0.851865
0.16463, 0.415809, 0.863022
0.138197, 0.425325, 0.872539
0.111217, 0.433164, 0.880377
0.0837994, 0.439292, 0.886506
0.0560506, 0.443687, 0.890901
0.0280807, 0.446331, 0.893545
-3.90967e-08, 0.447214, 0.894427
-0.0280808, 0.446331, 0.893545
-0.0560508, 0.443687, 0.890901
-0.0837995, 0.439292, 0.886506
-0.111218, 0.433164, 0.880377
-0.138197, 0.425325, 0.872539
-0.16463, 0.415809, 0.863022
-0.190414, 0.404651, 0.851864
-0.215447, 0.391896, 0.83911
-0.239629, 0.377595, 0.824809
-0.262866, 0.361803, 0.809017
-0.285065, 0.344584, 0.791798
-0.306139, 0.326005, 0.773218
-0.326005, 0.306139, 0.753352
-0.344584, 0.285065, 0.732278
-0.361803, 0.262865, 0.710079
-0.377595, 0.239629, 0.686843
-0.391896, 0.215447, 0.66266
-0.404651, 0.190414, 0.637628
-0.415809, 0.16463, 0.611844
-0.425325, 0.138196, 0.58541
-0.433164, 0.111217, 0.558431
-0.439292, 0.0837993, 0.531013
-0.443687, 0.0560505, 0.503264
-0.446331, 0.0280806, 0.475294
-0.447214, 0, 0.447214
-0.446331, -0.0280808, 0.419133
-0.443687, -0.0560508, 0.391163
-0.439292, -0.0837995, 0.363414
-0.433164, -0.111218, 0.335996
-0.425325, -0.138197, 0.309017
-0.415809, -0.16463, 0.282583
-0.404651, -0.190414, 0.256799
-0.391896, -0.215447, 0.231767
-0.377595, -0.239629, 0.207584
-0.361803, -0.262866, 0.184348
-0.344584, -0.285065, 0.162149
-0.326005, -0.306139, 0.141075
-0.306139, -0.326005, 0.121209
-0.285065, -0.344584, 0.102629
-0.262865, -0.361803, 0.0854101
-0.239629, -0.377595, 0.0696186
-0.215447, -0.391896, 0.0553172
-0.190414, -0.404651, 0.0425625
-0.16463, -0.415809, 0.0314048
-0.138196, -0.425325, 0.0218881
-0.111217, -0.433164, 0.01405
-0.0837994, -0.439292, 0.00792137
-0.0560507, -0.443687, 0.00352641
-0.0280807, -0.446331, 0.00088247
